2026-06-03 17:16:48 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:48 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:48 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:48 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:49 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:49 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:49 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:49 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:49 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:49 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:49 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:49 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:49 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:50 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:50 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:50 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:50 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:50 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:50 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:50 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:50 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:51 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:51 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:51 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:51 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:51 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:51 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:51 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:51 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:52 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:52 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:52 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:52 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:52 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:52 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:52 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:53 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:53 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:53 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:53 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:53 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:53 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:53 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:53 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:53 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:54 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:54 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:54 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:54 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:54 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:54 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:54 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:54 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:55 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:55 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:55 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:55 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:55 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:55 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:55 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:55 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:56 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:56 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:56 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:56 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:56 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:56 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:56 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:56 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:57 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:57 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:57 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:57 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:57 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:57 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:57 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:57 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:58 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:58 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:58 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:58 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:58 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:58 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:58 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:58 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:59 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:59 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:59 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:59 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:59 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:59 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:59 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:16:59 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:00 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:00 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:00 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:00 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:00 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:00 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:00 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:00 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:01 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
2026-06-03 17:17:01 [INFO] SOMEIP: RX | PWF=1 | LGT=0000000 | WIN=0000 | DR fl:1 fr:1 rl:0 rr:0 lck:0 | BCM:ON LSN:ON WBP:ON
